generation,file_path,total_entries,valid_entries,invalid_entries,pareto_front_area,dominated_pareto_area,objective_0_min,objective_0_max,objective_0_mean,objective_0_median,objective_0_stdev,objective_1_min,objective_1_max,objective_1_mean,objective_1_median,objective_1_stdev,crowding_total,crowding_infinite,crowding_min,crowding_max,crowding_mean,crowding_median,crowding_stdev
16,global_gen_16.pkl,140,42,98,53739.926895558834,417300.7431883812,0.8880999684333801,0.9157999753952026,0.9094142686753046,0.9102999866008759,0.004372785097694683,63330.0,909706.0,549114.2380952381,518230.0,138077.00464274513,42,3,0.0,0.29040150893204525,0.03720319682981504,0.009040564702895094,0.07255768555504408
17,global_gen_17.pkl,147,42,105,53739.926895558834,417300.7431883812,0.8714999556541443,0.9157999753952026,0.908485696429298,0.9102999866008759,0.007291146204765613,63330.0,909706.0,538178.7857142857,518230.0,157105.24214764457,42,3,0.0,0.6100505421647489,0.04573479201112589,0.006772457015382836,0.11333936967840276
18,global_gen_18.pkl,152,42,110,53739.926895558834,417300.7431883812,0.8714999556541443,0.9157999753952026,0.908485696429298,0.9102999866008759,0.007291146204765613,63330.0,909706.0,538178.7857142857,518230.0,157105.24214764457,42,3,0.0,0.6100505421647489,0.04573479201112589,0.006772457015382836,0.11333936967840276
19,global_gen_19.pkl,157,43,114,53891.8888939023,417322.7223877907,0.8806999921798706,0.9157999753952026,0.9081697505573894,0.9101999998092651,0.007068693336520987,63306.0,909706.0,527266.6976744186,518230.0,170922.68180720875,43,4,0.0,0.2821071911140022,0.03911953689161894,0.008092362911081213,0.07503710176854156
20,global_gen_20.pkl,165,46,119,53891.57328855991,417322.7223877907,0.8806999921798706,0.9157999753952026,0.9083043310953223,0.9102999866008759,0.006880049089224278,63306.0,909706.0,526563.2826086957,518219.5,165149.5776929593,46,4,0.0,0.2821071911140022,0.036325284256503304,0.007615153555408376,0.07280909081931078
21,global_gen_21.pkl,170,50,120,53921.88944643736,417322.7223877907,0.873699963092804,0.9157999753952026,0.9070539832115173,0.9101999998092651,0.008703980337738086,63306.0,909706.0,516409.38,518209.0,191171.0868016769,50,3,0.0,0.40612037759101477,0.040160147050181116,0.0071263632257854434,0.08358543970794863
22,global_gen_22.pkl,177,52,125,57785.386422395706,459644.7042530775,0.7170999646186829,0.9161999821662903,0.9038192136929586,0.9101999998092651,0.02754953699862326,63306.0,909706.0,509399.25,518219.5,194331.82893769516,52,4,0.0,0.4684591009695969,0.027166717850351026,0.001828931714070385,0.08216084827369696
23,global_gen_23.pkl,185,54,131,57785.386422395706,459644.7042530775,0.7426999807357788,0.9161999821662903,0.9043685010185948,0.9101999998092651,0.023855000155289012,63306.0,909706.0,519016.9074074074,518230.0,180437.1749662018,54,4,0.0,0.3994933490927984,0.026282478261400788,0.0017521698297691384,0.07337095655493968
24,global_gen_24.pkl,192,54,138,56802.54824447632,459644.7042530775,0.7426999807357788,0.9161999821662903,0.9050814652884448,0.9101999998092651,0.023678364166375598,63306.0,909706.0,511816.3333333333,518219.5,172313.84273853555,54,4,0.0,0.45715751932712323,0.02626489580959511,0.0017521698297691384,0.07947561720426224
25,global_gen_25.pkl,200,55,145,56802.54824447632,459644.7042530775,0.7426999807357788,0.9161999821662903,0.9042345296252857,0.9101999998092651,0.023658912755347854,63306.0,909706.0,496383.7818181818,518209.0,190546.65589140094,55,4,0.0,0.45715751932712323,0.025920505479332966,0.0017739839319470699,0.07867727654468541
