generation,file_path,total_entries,valid_entries,invalid_entries,pareto_front_area,objective_0_min,objective_0_max,objective_0_mean,objective_0_median,objective_0_stdev,objective_1_min,objective_1_max,objective_1_mean,objective_1_median,objective_1_stdev,crowding_total,crowding_infinite,crowding_min,crowding_max,crowding_mean,crowding_median,crowding_stdev
51,global_gen_51.pkl,380,83,297,73017.84644699097,0.5478000044822693,0.9226999878883362,0.8417770884123194,0.8614999651908875,0.07818730965849842,10282.0,541495.0,278159.0843373494,311926.0,206905.43787583342,83,3,0.0,0.1952686031049675,0.023125396655895955,0.006467040228473671,0.04646928632106496
52,global_gen_52.pkl,384,82,302,74155.86699128151,0.5676000118255615,0.9226999878883362,0.8444243705854183,0.8614999651908875,0.07471722547297184,10186.0,541495.0,281335.43902439025,312022.0,205911.89953911086,82,3,0.0,0.19561381283104734,0.023116875799235964,0.00683309011842475,0.046585519326250886
53,global_gen_53.pkl,388,81,307,74187.40778374672,0.5676000118255615,0.9226999878883362,0.8420851657420029,0.8614999651908875,0.07864681819667003,10186.0,541495.0,278427.25925925927,311926.0,205496.32089107932,81,3,0.0,0.19561381283104734,0.025421783575944577,0.006943403506519771,0.050039788069887105
54,global_gen_54.pkl,392,85,307,74187.40778374672,0.5486999750137329,0.9226999878883362,0.8405940974459929,0.8614999651908875,0.08019397520114828,10186.0,541495.0,278177.6941176471,311926.0,207479.07393386192,85,3,0.0,0.19525091733567818,0.023874772056178717,0.0066267606036515166,0.048967570895358435
55,global_gen_55.pkl,399,86,313,74187.40778374672,0.3831000030040741,0.9226999878883362,0.8363092829321706,0.8614999651908875,0.09249191830394467,10186.0,541495.0,271720.488372093,311926.0,205941.53213928544,86,3,0.0,0.1931584537903226,0.022049712751960476,0.0047234553766087395,0.04761665437486458
56,global_gen_56.pkl,406,86,320,74187.40778374672,0.3569999933242798,0.9226999878883362,0.8368127706438996,0.8614999651908875,0.09446832624128823,10186.0,541495.0,276360.5813953488,311926.0,206950.90628015055,86,4,0.0,0.19294042002621783,0.019840326500900708,0.0044888395837918305,0.04436977226802377
57,global_gen_57.pkl,410,88,322,74187.40778374672,0.3569999933242798,0.9226999878883362,0.8323352072726596,0.8614999651908875,0.09854411293330238,10186.0,541495.0,270461.1590909091,311926.0,208227.88034553104,88,4,0.0,0.19294042002621783,0.019367937774688787,0.0045065698860685555,0.04333191891028692
58,global_gen_58.pkl,416,89,327,74187.40778374672,0.3024999797344208,0.9226999878883362,0.8320123395893011,0.8614999651908875,0.10114617686454061,10186.0,541495.0,268772.5842696629,311926.0,207653.88988398507,89,4,0.0,0.19254430633291802,0.018475140203934953,0.004124725244303978,0.042583719760636816
59,global_gen_59.pkl,425,90,335,76162.57909846306,0.36409997940063477,0.9226999878883362,0.8332833137777117,0.8614999651908875,0.09722563096524328,9226.0,541495.0,269280.86666666664,311926.0,206573.77470961743,90,3,0.0,0.19265785722329237,0.020890899293052406,0.004504302186824771,0.04616185215063541
60,global_gen_60.pkl,434,93,341,76153.59110045433,0.36409997940063477,0.9226999878883362,0.8299698723900703,0.8580999970436096,0.10270566441399173,9226.0,541495.0,267594.4516129032,311926.0,204901.57895658718,93,3,0.0,0.19265785722329237,0.02175256908010584,0.00319446261203512,0.04751829292046948
61,global_gen_61.pkl,442,92,350,76153.59110045433,0.36409997940063477,0.9226999878883362,0.8300749805310498,0.8597999811172485,0.1032787199488715,9226.0,541495.0,263925.02173913043,311926.0,207460.24405500482,92,3,0.0,0.19265785722329237,0.021996979968646357,0.0036699110614631008,0.047735199246011197
62,global_gen_62.pkl,448,97,351,74457.2678000927,0.36409997940063477,0.9226999878883362,0.8200360625675044,0.8580999970436096,0.12065631409912324,9226.0,541495.0,254553.69072164947,311926.0,207739.45441397466,97,3,0.0,0.19265785722329237,0.021102601559262805,0.00319446261203512,0.04629869302287387
63,global_gen_63.pkl,455,97,358,74457.2678000927,0.36409997940063477,0.9226999878883362,0.8253051346724796,0.8580999970436096,0.11133822115768308,9226.0,541495.0,259786.43298969071,311926.0,207888.13733381487,97,3,0.0,0.19265785722329237,0.021102601559262805,0.0033962418260719495,0.04627930292487312
64,global_gen_64.pkl,461,96,365,74457.2678000927,0.36409997940063477,0.9226999878883362,0.8261916466678182,0.8580999970436096,0.11217372849918819,9226.0,541495.0,262048.1875,311926.0,207811.40994566825,96,3,0.0,0.19265785722329237,0.021329511253448428,0.00304329403474462,0.046701750050176176
